"","kods","teritorija","Year","FDI","Subject","Measure"
"89","US","Amerikas Savienotās Valstis","2004",250,"INWARD","MLN_EUR"
"90","US","Amerikas Savienotās Valstis","2005",275,"INWARD","MLN_EUR"
"91","US","Amerikas Savienotās Valstis","2006",334,"INWARD","MLN_EUR"
"92","US","Amerikas Savienotās Valstis","2007",332,"INWARD","MLN_EUR"
"93","US","Amerikas Savienotās Valstis","2008",317,"INWARD","MLN_EUR"
"94","US","Amerikas Savienotās Valstis","2009",305,"INWARD","MLN_EUR"
"95","US","Amerikas Savienotās Valstis","2010",261,"INWARD","MLN_EUR"
"96","US","Amerikas Savienotās Valstis","2011",275,"INWARD","MLN_EUR"
"97","US","Amerikas Savienotās Valstis","2012",254,"INWARD","MLN_EUR"
"98","US","Amerikas Savienotās Valstis","2013",158,"INWARD","MLN_EUR"
"99","US","Amerikas Savienotās Valstis","2014",150,"INWARD","MLN_EUR"
"100","US","Amerikas Savienotās Valstis","2015",153,"INWARD","MLN_EUR"
"101","US","Amerikas Savienotās Valstis","2016",195,"INWARD","MLN_EUR"
"102","US","Amerikas Savienotās Valstis","2017",145,"INWARD","MLN_EUR"
"103","US","Amerikas Savienotās Valstis","2018",165,"INWARD","MLN_EUR"
"104","US","Amerikas Savienotās Valstis","2019",136,"INWARD","MLN_EUR"
"105","US","Amerikas Savienotās Valstis","2020",139,"INWARD","MLN_EUR"
"106","AD","Andora","2000",NA,"INWARD","MLN_EUR"
"107","AD","Andora","2001",NA,"INWARD","MLN_EUR"
"108","AD","Andora","2002",NA,"INWARD","MLN_EUR"
"109","AD","Andora","2003",NA,"INWARD","MLN_EUR"
"110","AD","Andora","2004",NA,"INWARD","MLN_EUR"
"111","AD","Andora","2005",NA,"INWARD","MLN_EUR"
"112","AD","Andora","2006",NA,"INWARD","MLN_EUR"
"113","AD","Andora","2007",NA,"INWARD","MLN_EUR"
"114","AD","Andora","2008",NA,"INWARD","MLN_EUR"
"115","AD","Andora","2009",NA,"INWARD","MLN_EUR"
"116","AD","Andora","2010",0,"INWARD","MLN_EUR"
"117","AD","Andora","2011",NA,"INWARD","MLN_EUR"
"118","AD","Andora","2012",NA,"INWARD","MLN_EUR"
"119","AD","Andora","2013",NA,"INWARD","MLN_EUR"
"120","AD","Andora","2014",NA,"INWARD","MLN_EUR"
"121","AD","Andora","2015",NA,"INWARD","MLN_EUR"
"122","AD","Andora","2016",NA,"INWARD","MLN_EUR"
"123","AD","Andora","2017",NA,"INWARD","MLN_EUR"
"124","AD","Andora","2018",NA,"INWARD","MLN_EUR"
"125","AD","Andora","2019",NA,"INWARD","MLN_EUR"
"126","AD","Andora","2020",NA,"INWARD","MLN_EUR"
"127","AI","Angilja","2000",0,"INWARD","MLN_EUR"
"128","AI","Angilja","2001",0,"INWARD","MLN_EUR"
"129","AI","Angilja","2002",0,"INWARD","MLN_EUR"
"130","AI","Angilja","2003",0,"INWARD","MLN_EUR"
"131","AI","Angilja","2004",NA,"INWARD","MLN_EUR"
"132","AI","Angilja","2005",NA,"INWARD","MLN_EUR"
"133","AI","Angilja","2006",NA,"INWARD","MLN_EUR"
"134","AI","Angilja","2007",NA,"INWARD","MLN_EUR"
"135","AI","Angilja","2008",0,"INWARD","MLN_EUR"
"136","AI","Angilja","2009",0,"INWARD","MLN_EUR"
"137","AI","Angilja","2010",0,"INWARD","MLN_EUR"
"138","AI","Angilja","2011",0,"INWARD","MLN_EUR"
"139","AI","Angilja","2012",0,"INWARD","MLN_EUR"
"140","AI","Angilja","2013",0,"INWARD","MLN_EUR"
"141","AI","Angilja","2014",11,"INWARD","MLN_EUR"
"142","AI","Angilja","2015",14,"INWARD","MLN_EUR"
"143","AI","Angilja","2016",12,"INWARD","MLN_EUR"
"144","AI","Angilja","2017",11,"INWARD","MLN_EUR"
"145","AI","Angilja","2018",0,"INWARD","MLN_EUR"
"146","AI","Angilja","2019",0,"INWARD","MLN_EUR"
"147","AI","Angilja","2020",0,"INWARD","MLN_EUR"
"148","AO","Angola","2000",NA,"INWARD","MLN_EUR"
"149","AO","Angola","2001",NA,"INWARD","MLN_EUR"
"150","AO","Angola","2002",NA,"INWARD","MLN_EUR"
"151","AO","Angola","2003",NA,"INWARD","MLN_EUR"
"152","AO","Angola","2004",NA,"INWARD","MLN_EUR"
"153","AO","Angola","2005",NA,"INWARD","MLN_EUR"
"154","AO","Angola","2006",NA,"INWARD","MLN_EUR"
"155","AO","Angola","2007",NA,"INWARD","MLN_EUR"
"156","AO","Angola","2008",NA,"INWARD","MLN_EUR"
"157","AO","Angola","2009",NA,"INWARD","MLN_EUR"
"158","AO","Angola","2010",NA,"INWARD","MLN_EUR"
"159","AO","Angola","2011",NA,"INWARD","MLN_EUR"
"160","AO","Angola","2012",NA,"INWARD","MLN_EUR"
"161","AO","Angola","2013",0,"INWARD","MLN_EUR"
"162","AO","Angola","2014",NA,"INWARD","MLN_EUR"
"163","AO","Angola","2015",NA,"INWARD","MLN_EUR"
"164","AO","Angola","2016",NA,"INWARD","MLN_EUR"
"165","AO","Angola","2017",NA,"INWARD","MLN_EUR"
"166","AO","Angola","2018",NA,"INWARD","MLN_EUR"
"167","AO","Angola","2019",NA,"INWARD","MLN_EUR"
"168","AO","Angola","2020",NA,"INWARD","MLN_EUR"
"169","AG","Antigva un Barbuda","2000",NA,"INWARD","MLN_EUR"
"170","AG","Antigva un Barbuda","2001",NA,"INWARD","MLN_EUR"
"171","AG","Antigva un Barbuda","2002",NA,"INWARD","MLN_EUR"
"172","AG","Antigva un Barbuda","2003",NA,"INWARD","MLN_EUR"
"173","AG","Antigva un Barbuda","2004",NA,"INWARD","MLN_EUR"
"174","AG","Antigva un Barbuda","2005",NA,"INWARD","MLN_EUR"
"175","AG","Antigva un Barbuda","2006",NA,"INWARD","MLN_EUR"
"176","AG","Antigva un Barbuda","2007",NA,"INWARD","MLN_EUR"
"177","AG","Antigva un Barbuda","2008",NA,"INWARD","MLN_EUR"
"178","AG","Antigva un Barbuda","2009",NA,"INWARD","MLN_EUR"
"179","AG","Antigva un Barbuda","2010",NA,"INWARD","MLN_EUR"
"180","AG","Antigva un Barbuda","2011",NA,"INWARD","MLN_EUR"
"181","AG","Antigva un Barbuda","2012",NA,"INWARD","MLN_EUR"
"182","AG","Antigva un Barbuda","2013",NA,"INWARD","MLN_EUR"
"183","AG","Antigva un Barbuda","2014",NA,"INWARD","MLN_EUR"
"184","AG","Antigva un Barbuda","2015",NA,"INWARD","MLN_EUR"
"185","AG","Antigva un Barbuda","2016",0,"INWARD","MLN_EUR"
"186","AG","Antigva un Barbuda","2017",0,"INWARD","MLN_EUR"
