"","pays1","pays2","dist"
"148","Latvia","Morocco",2924.04181908376
"149","Latvia","Mozambique",7440.60191643671
"150","Latvia","Myanmar",6160.35817542246
"151","Latvia","Namibia",8108.03427344525
"152","Latvia","Nauru",12741.399273179
"153","Latvia","Nepal",4994.15631468529
"154","Latvia","Netherlands",943.778717301618
"155","Latvia","Nevis",8037.75638744667
"156","Latvia","New Caledonia",14247.7978070711
"157","Latvia","New Zealand",14305.4407290317
"158","Latvia","Nicaragua",9465.8008076128
"159","Latvia","Niger",3690.18360997586
"160","Latvia","Nigeria",4744.00443158372
"161","Latvia","Niue",15492.5609811822
"162","Latvia","Norfolk Island",15605.2039301037
"163","Latvia","Northern Mariana Islands",9814.41341020879
"164","Latvia","North Korea",6708.30509758625
"165","Latvia","Norway",603.108826344718
"166","Latvia","Oman",4008.27554253767
"167","Latvia","Pakistan",3884.25685722946
"168","Latvia","Palau",10282.5294256833
"169","Latvia","Palestine",2652.09766152103
"170","Latvia","Panama",9705.700195997
"171","Latvia","Papua New Guinea",11622.504789198
"172","Latvia","Paraguay",11166.3227379192
"173","Latvia","Peru",10320.105159496
"174","Latvia","Philippines",8317.33817143548
"175","Latvia","Pitcairn Islands",15611.8250125434
"176","Latvia","Poland",186.768789802947
"177","Latvia","Portugal",2532.99714022008
"178","Latvia","Puerto Rico",8116.82018107742
"179","Latvia","Qatar",3807.17943017921
"180","Latvia","Republic of Congo",5816.67068888353
"181","Latvia","Reunion",8893.26447415361
"182","Latvia","Romania",823.869936793682
"183","Latvia","Russia",0
"184","Latvia","Rwanda",6298.70146761599
"185","Latvia","Saba",8037.64273728773
"186","Latvia","Saint Barthelemy",7987.48554030178
"187","Latvia","Saint Helena",8359.10411426646
"188","Latvia","Saint Kitts",8032.47541102299
"189","Latvia","Saint Lucia",8217.79496520475
"190","Latvia","Saint Martin",7982.61623187066
"191","Latvia","Saint Pierre and Miquelon",5132.87100047961
"192","Latvia","Saint Vincent",8298.71680222936
"193","Latvia","Samoa",14831.6325973333
"194","Latvia","San Marino",1473.90217308561
"195","Latvia","Sao Tome and Principe",6151.65322616458
"196","Latvia","Saudi Arabia",2780.86600615686
"197","Latvia","Senegal",5299.66771884458
"198","Latvia","Serbia",1105.04785742312
"199","Latvia","Seychelles",7160.63853520552
"200","Latvia","Siachen Glacier",4280.58724699334
