"Preču plūsma,""Valstis"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"""
"Eksports,""SA Saūda Arābija"",910615,1569646,4166249,11569460,24631174,23970751,21984836,3024252,50553875,3411866,83370094,61966713,75618253,119161043,108192264,87540930,38355904"
"Eksports,""SB Zālamana salas"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,87660,40165,0"
"Eksports,""SC Seišelas"",43764,87896,493608,6512,37777,86430,175314,92890,374793,113307,551525,343931,266708,143832,157582,91170,14077"
"Eksports,""SD Sudāna"",0,449977,485659,38295,3108,114566,203866,138097,70355,78434,37529,101438,11184323,132758,11673996,289619,48972"
"Eksports,""SE Zviedrija"",320159879,302973094,445330387,417418128,312298089,420506037,541387279,511298870,503133388,550568377,538549984,621878245,705498985,911320820,854340931,758939932,656842020"
"Eksports,""SG Singapūra"",3239167,4019702,2930135,3262371,5867196,13497660,6380579,9787579,9842753,11085707,20401372,19295912,16836159,9833761,12744889,16159190,10130369"
"Eksports,""SH Sv. Helēnas Sala, Debesbraukšanas un Tristana da Kuņas salas"",0,1476,0,0,0,0,0,0,57749,0,94557,19537,0,0,26004,0,0"
"Eksports,""SI Slovēnija"",2562075,3257402,4018609,4126425,3909505,4214805,4050123,7195451,7548772,9499976,8692977,9881719,11533346,17953311,20805583,20028560,15581243"
"Eksports,""SY Sīrijas Arābu Republika (Sīrija)"",0,11181,39141,1605599,1903641,1147429,1069405,975592,204329,472882,579132,324601,472846,494731,168671,95672,22304"
"Eksports,""SK Slovākija"",7312691,12157593,20688481,30873138,18820656,19242124,27745571,51837174,53118596,68222424,59457227,48843884,51328801,63127255,58883962,67065339,46989350"
"Eksports,""SL Sjerraleone"",802,0,14109,5067,849,301806,83196,56181,36982,281193,922377,673182,1752373,2687731,4985611,2433361,908796"
"Eksports,""SM Sanmarīno"",0,0,4576,13800,717,57700,2177,1827,690,3616,2279,21787,9757,25546,5785,20625,418763"
"Eksports,""SN Senegāla"",9502,11181,17157,990609,2920,1244700,711,1627098,12536,534583,754806,3181408,805132,1388107,2446400,1156459,1208105"
"Eksports,""SO Somālija"",0,0,2988,6235,86455,148127,463140,1628,0,33544,101687,44740,264147,258738,96908,5169,27619"
"Eksports,""SR Surinama"",29462,18369,17069,14936,12820,23787,26964,93860,181973,16220,17072,24860,40585,47812,163154,32007,21807"
"Eksports,""SS Dienvidsudāna"",0,0,0,0,0,0,0,0,36539,31480,115362,18669,23038,2606,20306,35716,18916"
"Eksports,""ST Santome un Prinsipi"",0,0,0,0,0,0,0,100567,0,0,243,28,0,1166,2652,0,0"
"Eksports,""SV Salvadora"",10431,73912,74729,108810,94948,35706,73223,123373,45881,100119,149932,116979,343611,319089,278195,346380,368202"
"Eksports,""SX Senmartēna"",0,0,0,0,0,0,0,0,24444,112498,88597,84790,162706,80883,63944,39879,29407"
"Eksports,""SZ Svatini (bijusī Svazilenda)"",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,11803,0"
"Eksports,""TC Tērksas un Kaikosas salas"",0,0,0,0,0,0,0,73,67,0,0,0,0,0,0,0,28"
"Eksports,""TD Čada"",0,0,0,68383,0,0,6619458,0,16204,44046,84834,8441953,51555,3935090,220055,5707940,206211"
"Eksports,""TF Francijas Dienvidjūru teritorijas"",0,0,0,0,17391,1222,76676,64878,133584,428646,197705,9728,13970,1416,0,0,0"
"Eksports,""TG Togo"",36709,4126,362841,54525,14721,16780,106811,745103,2001458,4093264,9714509,609817,766824,453700,522923,366067,399732"
"Eksports,""TH Taizeme"",929934,498421,896261,4094930,25476877,5694230,15008302,9887642,7799442,9089975,13630689,11387399,10101044,12565784,13807827,12478893,9853396"
"Eksports,""TJ Tadžikistāna"",1132629,1139284,1838125,1948715,1301931,3357688,8577290,8290556,5949017,10478687,5378685,5482894,6118976,5976217,7619921,5993085,5313243"
"Eksports,""TK Tokelau"",0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Eksports,""TL Austrumtimora"",0,0,0,0,0,0,0,0,0,955,0,0,15933,0,2838,0,0"
"Eksports,""TM Turkmenistāna"",890919,508061,572780,3230677,3046570,3742523,5010669,6336195,7599139,9246714,20177396,19060444,8845522,6518318,3414640,2801301,1942988"
"Eksports,""TN Tunisija"",2237221,4706534,5737355,7938523,1256072,3150903,2068592,15711425,3611376,5291188,3208478,3907410,2497159,1859786,1824915,3261536,7042279"
"Eksports,""TO Tonga"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Eksports,""TR Turcija"",3305959,12071544,3264799,7486601,15830158,47046635,106956248,144113831,130484288,138151138,177370591,156930159,183827681,132744194,160034756,152104326,154122386"
"Eksports,""TT Trinidāda un Tobāgo"",113751,31869,12346,201,19099,0,20263,54270,28962,34784,33635,55494,52845,295573,371908,619955,407181"
"Eksports,""TV Tuvalu"",0,0,0,2028,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Eksports,""TW Taivāna"",1569756,1513960,4094464,2546675,2682347,9171506,10374956,5434183,3901871,2808649,4707526,4962939,5220619,7801284,7271336,8872779,6367856"
"Eksports,""TZ Tanzānija"",595605,423359,44220,92792,110776,7794843,538341,1692218,6059622,2101117,1301161,340454,314833,625742,7254836,478490,310051"
"Eksports,""UA Ukraina"",56633392,82037146,85137436,91739265,53628506,75116363,75278570,97689854,91734811,76543388,70876190,89413312,115788783,135573594,152302052,219167276,155337654"
"Eksports,""UG Uganda"",0,55275,212415,12142,125297,0,179554,80429,3196542,2388050,1844583,5894540,264755,243386,490328,1863633,607395"
"Eksports,""UY Urugvaja"",21454,37758,220960,498259,336997,348691,370399,468633,1243944,361089,548265,931813,792158,570789,424160,727841,979626"
"Eksports,""UM ASV Mazās aizjūras salas"",0,0,0,0,0,0,0,0,0,0,58014,0,978,274,1893,2243,0"
"Eksports,""US Amerikas Savienotās Valstis"",111858513,87893955,78922040,93055562,83357369,93445663,101718255,109532923,118134111,117254080,153313690,159461114,312335179,513954172,208413533,247012466,281613920"
"Eksports,""UZ Uzbekistāna"",7270097,8145626,9272510,18244501,19687076,12125903,11822269,18757570,39189495,48948626,56723441,85785710,81965512,70622976,56394380,51873136,37181309"
"Eksports,""VA Vatikāns"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Eksports,""VC Sentvinsenta un Grenadīnas"",1307875,2149243,602084,943876,378218,277758,238918,96842,112553,131172,178989,177249,54234,3760,37188,2072,0"
"Eksports,""VE Venecuēlas Bolivāra Republika (Venecuēla)"",173602,73827,255487,300526,293084,231929,242979,317370,27426,95472,19661,93319,237001,66963,135656,29532,174270"
"Eksports,""VG Britu Virdžīnas"",621627,285289,249132,2781720,2113213,2818733,888075,102686,33145,106388,933415,468993,299598,254845,188390,217326,92599"
"Eksports,""VI ASV Virdžīnu salas"",177634,62095,51911,62998,77016,89709,86830,13596,90087,59170,119257,311390,132743,126178,139326,86675,104362"
"Eksports,""VN Vjetnama"",301064,2478828,7313339,5603847,4682891,23513712,8272969,2457563,2001823,2483207,3139799,4052864,7440655,8721709,9092323,12097896,10770861"
"Eksports,""VU Vanuatu"",0,38178,0,12869,136165,22190,13832,3961,209328,34590,21531,75557,4552,19890,3128,12573,11747"
"Eksports,""WS Samoa"",0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,33440,0"
"Eksports,""XC Seūta"",0,0,0,0,0,0,0,28738,0,0,0,0,15,0,0,0,0"
"Eksports,""XK Kosova"",64388,20862,32187,95985,479809,471152,171587,175198,253913,172779,445860,455027,565857,548639,626680,933015,862111"
"Eksports,""XL Meliļa"",0,0,0,0,0,0,4169,169892,0,40,0,0,0,0,0,0,0"
"Eksports,""XM Melnkalne"",115,1318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Eksports,""XS Serbija"",230834,816815,996416,1626997,1319002,2043733,2716425,2936292,4175784,3594709,4446030,5867718,6383831,6861296,8929879,11170612,8085827"
"Eksports,""ZA Dienvidāfrika"",1027300,1364379,1869016,2796820,2114537,3090301,3796732,4397517,7241293,20532886,9876810,10366262,29660605,42213705,39408022,45244618,63688690"
"Eksports,""ZM Zambija"",44003,121966,63489,130993,101128,86200,37984,1689,1483657,7619,40545,48019,154151,131644,110942,362346,48820"
"Eksports,""ZW Zimbabve"",0,0,23185,15639,25646,11591,10263,11702,2612,8152,23406,33229,237878,59060,512756,91680,147767"
"Eksports,""QY Nav norādīts komerciālu vai militāru iemeslu dēļ (tirdzn. ES ietvaros)"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Eksports,""QR Kuģu un lidmašīnu apgāde ES"",2643022,1576940,6418304,17588999,11853543,16379887,53086792,67059357,63096713,36652176,22626951,21728585,33606530,42902540,36773779,13630679,13534188"
"Eksports,""QV Bez sadalījuma pa valstīm (tirdzn. ES ietvaros)"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""TOTAL PAVISAM"",6925131093,9075762897,11070268154,10710928544,6701406573,8411838221,10983288391,12512279641,12635138880,12909015033,12710128172,12416571142,14176718116,15792858749,15913551884,15159470115,14211682963"
"Imports,""AD Andora"",134538,31696,26167,9191,0,83863,0,481,1531,379,526,5738,1000,0,207056,281955,393"
"Imports,""AE Apvienotie Arābu Emirāti"",3880707,3054348,1866033,1836018,1013353,1556067,2034900,2612418,3339869,9393830,5861199,4852986,5237709,7911732,8127625,11826156,12847675"
"Imports,""AF Afganistāna"",0,0,0,0,1008,22800,37170,425306,4759359,1899595,184813,24474,140,868959,100,121700,268684"
"Imports,""AG Antigva un Barbuda"",0,599,0,0,0,0,0,0,0,0,0,197,12743,8807,15204,15297,0"
"Imports,""AI Angilja"",0,0,0,0,0,0,0,0,359,13,0,947,161,0,1918,5766,1248"
"Imports,""AL Albānija"",0,0,0,973,3025,14262,3614,176591,14001,42873,156771,167321,536041,324870,519735,681401,953497"
"Imports,""AM Armēnija"",551229,1021169,842559,690424,636870,919853,751245,875116,927407,1881531,1740356,1302930,1933408,2284837,2725129,2837442,1928558"
"Imports,""AN Nīderlandes Antiļas"",0,0,0,0,0,2103,3959,0,0,0,0,0,0,0,0,0,0"
"Imports,""AO Angola"",0,0,1409,0,0,0,0,0,0,0,0,0,0,0,0,0,184"
"Imports,""AR Argentīna"",2517683,3049098,3008086,3257995,2973577,2437547,5217238,5155201,15453409,9758720,7651537,7058823,7843777,8424673,5692652,5081626,1940964"
"Imports,""AS ASV Samoa"",0,0,0,0,0,144,0,0,0,3552,713,2485,0,0,1784,10979,1834"
"Imports,""AT Austrija"",112124196,139975365,164097625,182512108,73624401,97203332,118277927,143595711,159361845,166317400,151373139,123104415,129532839,162913123,150573970,159157625,132825894"
"Imports,""AU Austrālija"",2283157,2958714,3277176,1856350,975404,1048303,1406551,989875,1278898,926531,952770,1117686,1487402,1830079,1604781,5774224,11559711"
"Imports,""AW Aruba"",0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0"
"Imports,""AZ Azerbaidžāna"",1977483,1537798,1442848,1735386,1421317,2414200,3325408,2037893,1218723,946083,689387,1146761,1182685,271820,648249,359003,483624"
"Imports,""BA Bosnija un Hercegovina"",56534,740702,478,88,0,43017,122641,337392,258474,276387,231223,377912,536026,730921,643831,696067,636271"
"Imports,""BB Barbadosa"",0,2075,171,0,0,0,0,68,0,0,0,0,0,0,2161,100,4733"
"Imports,""BD Bangladeša"",76641,216064,234184,173861,435802,227772,860320,1348796,2412850,957200,2285250,1493503,1526182,752045,1289318,1049053,2353425"
"Imports,""BE Beļģija"",112999814,154664699,212337265,186334539,102904061,145413269,205996120,215160588,200800903,180360073,206776091,224665464,242404407,257540758,282752740,258779873,284626716"
"Imports,""BF Burkinafaso"",0,0,0,0,0,0,0,0,0,0,53872,376927,166516,303875,435448,321111,287716"
"Imports,""BG Bulgārija"",5883367,8322883,12873252,12072968,10820859,14689306,18324788,25243893,24855201,22651114,23356057,29494850,32254918,39324767,33614610,52649853,31345928"
"Imports,""BH Bahreina"",0,482,0,0,2423,67648,13417,20451,21830,23021,45330,9170,13683,17746,17276,5671,54405"
"Imports,""BI Burundi"",0,0,0,0,0,295,0,0,0,47305,0,0,0,0,0,0,0"
"Imports,""BY Baltkrievija"",400586877,423657022,365223786,355731163,232288974,288034659,485628645,447250705,310333098,318698717,299780066,191867477,240643265,313210962,320385334,298516621,370981066"
"Imports,""BJ Benina"",0,137,0,0,0,6952,0,0,0,0,0,100,0,0,0,42,0"
"Imports,""BL Senbartelmī"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""BM Bermudu salas"",145,0,0,0,67968,0,750,0,27843,46,0,17136834,0,0,0,0,112"
"Imports,""BN Bruneja Darusalama (Bruneja)"",58324,0,0,0,0,886,0,300,0,50,248,0,5,0,0,827,0"
"Imports,""BO Bolīvijas Daudznāciju Valsts (Bolīvija)"",43976,49621,279960,125871,47441,103661,90403,122671,54184,146124,161,134354,8980,3385,177175,102895,1211"
"Imports,""BQ Bonaire, Sintēstatiusa un Saba"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""BR Brazīlija"",6587262,9147626,8161244,7106600,2319661,2110231,10658845,2133417,2141961,3554102,3727596,2712989,7859288,6710466,11644278,8778724,12141262"
"Imports,""BS Bahamu Salas"",0,2503,0,186,0,99999,0,0,245,0,40,0,0,0,0,43186,0"
"Imports,""BT Butāna"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""BW Botsvāna"",0,0,0,0,0,1753,0,539,0,23000,0,0,1301,0,380,0,0"
"Imports,""BZ Beliza"",1459195,95684,2617,0,0,507,170605,2796,524,10455,0,58096,37254,0,0,0,78"
"Imports,""CA Kanāda"",15071682,15445427,18314808,17662650,6953361,54952325,5979872,8907703,10472119,12748180,17302238,51821271,333369431,737075975,598216507,261241224,506001416"
"Imports,""CD Kongo Demokrātiskā Republika (bijusī Zaira)"",0,237365,438650,120877,0,0,0,0,27084,532,0,0,0,0,134,0,0"
"Imports,""CF Centrālāfrikas Republika"",0,252029,99511,0,181,0,0,0,0,0,0,0,0,0,0,145,0"
"Imports,""CG Kongo"",505237,369339,110125,49116,0,12999,158,84,421,26,0,0,297,81,0,427,0"
"Imports,""CH Šveice"",72458650,98954551,115101102,120045777,120898847,122302026,138918182,87726970,84265682,92414327,105607320,127189902,101120928,96466901,85976800,87317038,69720212"
"Imports,""CI Kotdivuāra"",0,0,0,8612,109009,154580,0,113285,0,0,1153,238363,240942,425726,673578,491223,137061"
"Imports,""CY Kipra"",6716616,15959576,34551275,41310001,16354633,16403919,26387882,36333070,15498152,16823832,12188571,9305562,9095224,7407951,7397691,11874837,9690980"
"Imports,""CK Kuka salas"",0,0,0,0,0,0,0,413,0,0,0,0,0,0,0,77,0"
"Imports,""CL Čīle"",1808871,2538348,3284002,3981853,2332254,2676378,3034246,4179957,4079873,3500052,3872926,3312281,3053250,3906500,3807125,3887429,2326159"
"Imports,""CM Kamerūna"",0,0,0,7080,14582,529,3474,579,49281,0,0,0,1287,0,0,114,293"
"Imports,""CN Ķīna"",104387785,151217208,255028358,248552549,141532832,216111545,294369370,348238645,335537449,352799982,415472693,402035560,439891497,490262448,509953712,634802376,618771490"
"Imports,""CO Kolumbija"",422482,1248779,1890925,1125439,64453,49199,144788,138676,172413,104600,71944,213400,265374,516147,909803,1360912,110414"
"Imports,""CR Kostarika"",41077,42502,2492,60759,20528,14331,89598,155756,396739,119551,53816,44351,47892,65687,41551,109963,178186"
"Imports,""CS Čehoslovākija"",527906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""CU Kuba"",191130,81039,147408,8211,3836,0,2711605,0,0,0,0,114606,19,0,28559,16700,27590"
"Imports,""CV Kaboverde"",0,0,7343,2466,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""CW Kirasao"",0,0,0,0,0,0,0,0,0,0,0,227,310,819,1217058,0,7888"
"Imports,""CZ Čehija"",97301150,159432747,209996955,160927550,98308338,123108849,161989130,184420921,174541469,186613730,204231346,243445109,228663384,210437484,241804756,247719323,228254371"
"Imports,""DE Vācija"",966146181,1406513427,1733086643,1396766660,772779629,967699510,1331079649,1444699425,1463417443,1441990132,1404393653,1459256649,1585121661,1657468614,1739615371,1581857468,1485437304"
"Imports,""DJ Džibutija"",0,0,0,0,0,0,0,1148,1760,3498,0,0,0,0,0,0,0"
"Imports,""DK Dānija"",201151043,246595863,295539653,310240682,180170390,192719130,245318347,282426018,277410218,282755544,269217019,263964778,310487088,313655376,317812625,335322448,294187024"
"Imports,""DM Dominika"",4318,0,0,249,0,0,4721,0,15417,4791,0,45,0,10726,2622,1085,0"
"Imports,""DO Dominikānas Republika"",26750,69508,52159,27208,17718,13390,24987,36827,88088,129689,161927,54125,118336,101853,73994,256983,1337546"
"Imports,""DZ Alžīrija"",0,0,0,0,0,0,106416,18379,0,220,0,0,1588,3486,27593,555,961"
"Imports,""EC Ekvadora"",1805709,776287,935224,661965,153578,207626,266080,130474,57374,31151,4511,45049,113436,591812,317104,398596,631673"
"Imports,""EE Igaunija"",545403946,703024014,896329790,762168391,534555548,601706211,818012771,969326352,1031533072,1161546826,1090178458,1068960272,1161307590,1354329506,1346031024,1293504066,1258366437"
"Imports,""EG Ēģipte"",977866,5289799,5452808,5445458,4229528,4234844,4052181,4881247,3738336,3055423,3345272,1896323,2453860,3429997,3570067,4985423,4713879"
"Imports,""ER Eritreja"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""ES Spānija"",84844812,85167394,153871578,114864931,90807523,99576797,120055971,177885931,149899667,173544437,161100176,173934111,214606982,209956491,238085693,211059378,173694707"
"Imports,""ET Etiopija"",6929,36,10424,16842,0,0,0,2123,37695,107,0,22,63913,81698,52232,78949,140438"
"Imports,""FI Somija"",405376266,516570161,565312038,470755675,239911847,412629193,505964465,569039539,585527376,759841891,658707645,551634705,606342980,673498138,675345691,588419348,519979106"
"Imports,""FJ Fidži"",0,0,0,313,0,7828,0,192,229,0,0,0,0,0,0,0,0"
"Imports,""FK Folklenda Salas"",0,33062,29472,9501,12529,3789,0,276,0,732,0,2786,1505,4211,0,1925,0"
"Imports,""FO Fēru Salas (DK)"",18497,107665,70330,347777,24820,43821,97446,3468,66951,125567,78602,306994,2605020,4728442,3786295,4755084,3309862"
"Imports,""FR Francija"",142662402,222489090,255778901,248207952,171759741,203671318,260149750,230136090,250892137,256689366,250642093,244694157,267203087,277162851,294026001,271042420,225826486"
"Imports,""GA Gabona"",0,156762,71879,0,0,5884,2739,3455,4500,0,0,0,0,0,0,0,0"
"Imports,""GB Apvienotā Karaliste"",126090140,177278944,180505662,153535596,91708285,133337152,192915276,200740713,202509826,249017640,230417515,236653483,315746698,358487744,348493136,374969111,121835600"
"Imports,""GD Grenāda"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""GE Gruzija"",799995,2305201,3220725,3315751,2469826,3481493,3955750,3725638,4791672,4942925,5634564,4258956,5886362,5945340,6498835,6828099,5495943"
"Imports,""GH Gana"",388748,2161594,2427367,2702654,2530488,2951623,3413886,2840273,4531555,5269938,4425266,1052881,1961965,1315407,677373,482626,214416"
"Imports,""GI Gibraltārs"",439,0,462,0,5101,17259,344,0,0,325,7021,43,0,9112,713,1743,1361"
"Imports,""GY Gajāna"",0,0,0,0,0,0,3537,0,0,0,0,0,2,2171,0,510182,520"
"Imports,""GL Grenlande"",0,0,0,510,0,0,0,0,0,28933,70672,577715,0,304779,0,250,0"
"Imports,""GM Gambija"",0,5063,0,0,0,0,18593,113548,18531,0,0,0,0,0,0,0,0"
"Imports,""GN Gvineja"",0,0,262136,0,0,0,0,6900,0,0,0,48675,277446,5100,0,0,0"
"Imports,""GQ Ekvatoriālā Gvineja"",0,0,0,0,0,0,0,0,0,27762,0,0,0,0,0,0,0"
"Imports,""GR Grieķija"",6734216,9017683,11952794,9611161,5101496,7393371,8363229,7916231,9733746,9894271,10850274,9146582,13698589,19837634,18529169,26358934,22832528"
"Imports,""GS Dienviddžordžija un Dienvidsendviču salas"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""GT Gvatemala"",3303,121,36,3721,9502,245,11,1681,12352,132,155,587,926,4906,12895,3031,119532"
"Imports,""GU Guama"",0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""GW Gvineja-Bisava"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""HK Honkonga"",8364889,13124083,15784904,17545215,9258050,14313356,11653071,15215696,28497001,23467568,20287892,14756483,15822537,13324128,12444048,21394051,13272427"
"Imports,""HN Hondurasa"",40,129,157,1512,5235,1864,2085,4437,796,1135,3180,4781,3025,23736,17576,37489,128410"
"Imports,""HR Horvātija"",5084396,4917585,8808036,8289907,6443730,4920161,5036027,5003010,4402653,8163949,9028305,10101640,8550337,10054638,11267353,11450203,20336816"
"Imports,""HT Haiti"",0,121,0,821,1178,1164,58,38,0,23282,0,40,0,4091,2861,2079,876"
"Imports,""HU Ungārija"",79927581,90751429,119164193,124079370,91170601,111524982,115542923,121314386,129339456,133818443,122055572,119158626,158248708,160227256,162220654,188199160,144460165"
"Imports,""ID Indonēzija"",2016568,3614451,6258880,7122358,3176354,3691526,5095281,7285324,5603028,5529081,5136721,3305955,3616447,3559218,5702555,5703879,5999087"
"Imports,""IE Īrija"",18591097,23302362,21963203,24842296,16429673,20669491,26042257,29524407,26621268,35352837,142710326,47295843,109973535,83907992,95452175,71169345,46833071"
"Imports,""IL Izraēla"",11672004,14041222,12772250,10876072,7794301,9959803,12619447,12260679,8978599,9352100,10357312,9651785,12949766,12019593,14290002,9656337,11725152"
"Imports,""IN Indija"",14736958,22207574,21953321,21229766,14701738,22801056,22427071,34532542,33995019,30267678,32352623,42184977,69134942,71152960,58273554,52048933,49860046"
"Imports,""IO Britu Indijas okeāna teritorija"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0"
"Imports,""IQ Irāka"",3738,944,0,191,0,0,0,0,957,470,3260,8355,1028,0,775,1576,3434"
"Imports,""IR Irānas Islāma Republika"",572894,566364,524813,670311,287523,928949,579585,420826,384843,252166,307525,137293,357133,222328,1321151,581667,587324"
"Imports,""IS Islande"",2558343,2263864,2178073,1670639,1951732,2975638,2983032,3606183,2945309,3348728,3788269,4841996,4895898,9961077,8854858,16107759,13057188"
"Imports,""IT Itālija"",232677227,308510855,406816716,359788268,228651482,279907023,353515909,434503496,434154161,457412963,397151041,385636059,450225053,450677715,523636635,523561328,439423612"
"Imports,""YE Jemena"",134,0,0,0,0,0,0,0,0,0,2,0,3805,0,0,0,0"
"Imports,""YT Majota"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""YU Serbija un Melnkalne"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""JM Jamaika"",0,0,0,0,0,0,0,0,0,0,0,0,0,8604,352,7471,31411"
"Imports,""JO Jordānija"",37917,77038,30140,62885,200982,28171,36348,34926,25433,35717,139081,84492,25037,22203,158089,33724,434358"
"Imports,""JP Japāna"",17614373,25464590,40177872,27368565,8666350,7463579,16975266,14049916,12043619,13418283,20404731,18974269,22282088,25667691,27999132,21737808,17886340"
"Imports,""KE Kenija"",0,130863,84287,153092,21364,848,17214,21515,44588,36559,13781,86805,110734,117830,53629,110244,59929"
"Imports,""KG Kirgizstāna"",182228,357432,631808,527462,101973,40439,102780,186604,294372,1266634,3039729,4895781,2284247,2680363,1146714,1605325,608852"
"Imports,""KH Kambodža"",18289,1599,63371,97543,80969,272444,1798677,446829,4057123,951330,1344170,1696453,1510511,668236,66950,190772,110953"
"Imports,""KI Kiribati"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""KY Kaimanu salas"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,2526,561"
"Imports,""KM Komoru Salas"",0,0,0,0,0,0,0,0,0,0,39375,47580,22704,171600,173500,54200,0"
"Imports,""KN Sentkitsa un Nevisa"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""KP Ziemeļkoreja"",0,0,0,0,0,4327,124,0,0,344,0,0,0,0,0,0,0"
"Imports,""KR Dienvidkoreja"",32187743,44737379,53541182,49377310,26161211,24242237,46169214,34454456,41866280,46494469,42869875,23265863,25712389,20303350,25352867,26648918,29725762"
"Imports,""KW Kuveita"",0,723,373,73611,0,0,57544,41797,3562584,892996,313256,679534,2323229,4727015,4836440,1064889,616676"
"Imports,""KZ Kazahstāna"",16477560,39149516,39064475,86802124,22298891,40792030,28782284,65013060,38826833,32102794,10867486,6069291,7397666,9327735,10986122,2241191,5705425"
"Imports,""LA Laosas Tautas Demokrātiskā Republika (Laosa)"",111969,18700,61584,13399,9743,3271,5496,2639,878,38714,0,130332,32354,964,668,958,3829"
"Imports,""LB Libāna"",48801,174461,99342,138102,175867,15513,285226,25255,92052,45960,1183003,186344,248451,285276,280020,418140,100996"
"Imports,""LC Sentlūsija"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""LI Lihtenšteina"",85548,233185,1910840,109146,37214,36724,9031,6292,1431,1680,9130,33925,50249,11514,37465,12390,18777"
"Imports,""LY Lībija"",386,0,0,0,0,5367,0,0,0,0,0,0,112,0,0,0,0"
"Imports,""LK Šrilanka"",910672,1161154,1057181,1228603,2135246,3812380,5784638,5789679,6587509,6062303,5829254,5027804,5836890,5988469,6464397,5771329,4638949"
"Imports,""LR Libērija"",205,100,7275,3961,464,1966,613,0,283,0,0,0,0,0,0,70,0"
"Imports,""LS Lesoto"",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0"
"Imports,""LT Lietuva"",946888590,1177732112,1537503667,1766406529,1139568251,1434225817,2062553563,2481952898,2571739193,2228298579,2172192688,2183425584,2626824974,2747529937,2810543238,2716957087,2413058184"
"Imports,""LU Luksemburga"",5052294,17128464,17935720,14577655,9703289,11745706,10144519,10929202,19501139,11775750,13343455,24349894,14730685,16237853,7731863,6541414,6079550"
"Imports,""MA Maroka"",407796,2765409,2842687,3663653,4425330,5395388,6191330,4559226,5854678,4015960,1764576,2719307,2865917,3335087,1125333,1230708,625690"
"Imports,""MD Moldova"",3164035,3520035,4215899,3465705,1679159,2496579,2873065,4507452,5656483,8855797,8377427,4936545,6260079,6047543,7454021,6973617,5370313"
"Imports,""ME Melnkalne"",0,0,0,269,0,0,2583,1494,0,9844,23294,2589,184287,49351,62952,618,1354"
"Imports,""MG Madagaskara"",31760,29043,43777,11513,97,68,136,180,21667,27235,89919,22925,36631,311042,65860,101071,191728"
"Imports,""MH Māršala salas"",632,881,0,10047,0,489,0,0,7537,74330,15353,31923,3066,0,23212,0,0"
"Imports,""MY Malaizija"",2317461,4155566,11042510,6681430,6010051,7200266,8812552,7898776,6291515,5863348,8801278,9806697,15767704,10978777,8714967,10816503,13658926"
"Imports,""MK Ziemeļmaķedonija"",273506,283474,644090,742196,430847,1445316,1729238,2038946,1799930,1571111,1751466,1670247,2088435,3128879,3283425,3252964,2015046"
"Imports,""ML Mali"",0,2234,0,0,0,0,670,0,0,0,58,0,1144,272144,18239,24887,10105"
"Imports,""MM Mjanma"",2955,25327,0,31084,134842,0,89107,52651,0,140112,290456,65146,141238,484606,627166,506798,275877"
"Imports,""MN Mongolija"",138,3245,72904,0,0,1267,104248,39815,36012,65395,1542,30949,0,91,0,20093,1597"
"Imports,""MO Makao"",69510,114960,46930,37483,53561,23166,16374,0,46138,0,20645,140,0,81,811,64624,1864"
