"Preču plūsma,""Valstis"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"""
"Eksports,""CI Kotdivuāra"",5842,1757,0,100,0,280,779,15096,2342,81742,260856,289135,241935,598570,778754,1523148,750670"
"Eksports,""CY Kipra"",17169171,13714200,19122966,15548212,10107950,13860596,27990253,91475254,85285285,33573167,29640628,25137199,12141278,10662328,11494005,15287918,12250526"
"Eksports,""CK Kuka salas"",0,0,0,10482,22887,445,56188,3429,864,27475,9664,90,4929,550,0,1640,830"
"Eksports,""CL Čīle"",5081748,2146903,484846,928670,1380323,3889587,4145347,5456737,3202606,4568281,6983792,4193840,4982770,6081902,4568224,11187264,4830535"
"Eksports,""CM Kamerūna"",2732,3923,40158,62769,1964659,129114,779308,187438,140697,318795,490041,173251,426563,852922,464914,592901,219071"
"Eksports,""CN Ķīna"",8233513,15269343,16443898,18300753,15802766,25014584,39734809,46583269,83346088,105450220,108467860,120315672,142638023,159087700,161736784,155316732,110742084"
"Eksports,""CO Kolumbija"",2003977,1393228,1000986,653661,733755,756771,787326,1361128,1423225,1678134,2009900,2489108,2516447,3225426,3496391,5438932,4671151"
"Eksports,""CR Kostarika"",274111,224287,209529,182105,373151,307915,198041,332860,372830,369978,415892,552652,777386,563729,601655,909096,1309216"
"Eksports,""CS Čehoslovākija"",689491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Eksports,""CU Kuba"",393,15943,26213,320,17644,446810,2820,30373,23237,10324,107881,4716,210651,15230,353816,0,0"
"Eksports,""CV Kaboverde"",0,0,74156,0,2437,0,145915,0,0,0,0,3622,0,5298,2494,0,3217"
"Eksports,""CW Kirasao"",0,0,0,0,0,0,0,0,0,69380,123428,167305,214069,175669,329962,262601,492069"
"Eksports,""CZ Čehija"",17304789,30306844,33964317,39528311,39520645,40541487,65980723,80269328,111283015,143223870,175898741,143547348,179259193,160733392,168260870,149423845,130797213"
"Eksports,""DE Vācija"",421038059,472771950,502370867,510027536,446769736,582764934,706263031,782559543,742160489,702569164,658899901,740101463,838643423,873621618,940494489,962051594,856466424"
"Eksports,""DJ Džibutija"",113731,30276,56043,91710,339183,298404,347160,352200,241077,224516,455892,9000743,202093,23379,68553,229200,264881"
"Eksports,""DK Dānija"",218462650,234504580,229217795,287631053,211471086,258471459,286615475,388650730,410343624,386779317,417275026,480212465,489840720,548868355,554189538,606962267,517253134"
"Eksports,""DM Dominika"",208419,414032,413960,140278,28072,20381,53747,19920,112704,13939,79827,3109,51359,50653,14858,10822,0"
"Eksports,""DO Dominikānas Republika"",134394,158644,329789,374057,358740,203257,240351,573695,480122,1087064,921657,1089026,1639681,1175514,1424936,1444386,797927"
"Eksports,""DZ Alžīrija"",7113101,25517872,11917583,14919474,130217608,130011314,49281152,204739541,95537802,5317784,141309316,63466441,26943079,1329097,6753635,81092644,15705503"
"Eksports,""EC Ekvadora"",1161,181750,425081,498554,316426,490087,753621,1005793,1971391,2509424,3615994,2740251,2793020,3385152,2633397,5201906,3402323"
"Eksports,""EE Igaunija"",444378703,596354248,827773842,884581055,737626762,900680222,1164303009,1285607300,1275558185,1210185678,1204497816,1247073934,1346221445,1405758921,1527730634,1551297341,1282122000"
"Eksports,""EG Ēģipte"",4047880,6506984,3171192,6349825,21931911,43049971,32992393,42078939,32979929,57157371,50715677,50420577,49045461,71766835,44814875,44551126,31657880"
"Eksports,""ER Eritreja"",25884,20312,0,0,0,0,0,0,0,21972,0,0,131342,240311,9176,0,0"
"Eksports,""ES Spānija"",52982608,54247523,80777889,94228909,54569461,75890046,64808881,54326692,58955677,135375104,133397988,107735668,128739857,157884420,178550114,162793744,123013535"
"Eksports,""ET Etiopija"",185273,414246,68302,72984,246313,4223345,167248,147568,264358,501666,452756,9199423,263276,97721,128158,303254,1357535"
"Eksports,""FI Somija"",144647954,136828441,180736625,195472435,145842284,211138302,262189799,268413474,264624555,202553484,190278144,204973677,230009272,298467709,318463845,353868084,284624104"
"Eksports,""FJ Fidži"",33732,24627,21908,0,0,0,0,0,4336,165,63,106,4403,2590,17441,7947,5543"
"Eksports,""FK Folklenda Salas"",0,0,0,300396,15840,9407,6010,176,21848,5637,46493,12348,29949,53386,43991,2076,0"
"Eksports,""FO Fēru Salas (DK)"",95432,175740,247710,598818,92056,253669,3143984,277665,379608,1008011,1693482,1811687,1881197,1850733,3836936,3442032,3673814"
"Eksports,""FR Francija"",73711206,81478434,90102462,115634964,95099872,107881547,123545506,139782670,150419100,150626591,183002719,178415773,188967504,226008228,249662323,263510940,281527001"
"Eksports,""GA Gabona"",0,13315,350017,52896,85426,411688,71770,30357,13576,280878,276236,376182,200008,173497,353232,199047,86022"
"Eksports,""GB Apvienotā Karaliste"",415013918,366015632,394260512,237170212,164122217,234392960,260462573,321102122,367626009,510893080,542884848,579424215,596424819,727752599,726603242,762416613,915382021"
"Eksports,""GD Grenāda"",0,0,0,0,0,677,0,90,0,0,0,0,1872,1450,23907,4716,9978"
"Eksports,""GE Gruzija"",3733590,4336274,5184360,6898437,9428619,8283246,10507706,12433217,17655829,11004225,14267882,15507201,32554895,37007457,43631407,27383322,23052364"
"Eksports,""GH Gana"",277097,38917,236730,247889,353109,246807,679615,314769,258194,461246,1770734,2705121,2339214,1458637,1940685,15848181,5570007"
"Eksports,""GI Gibraltārs"",843218,1457821,904622,135786,70361,53988,339084,627028,623273,521232,385189,39353904,22859,132513,117657,1230282,598924"
"Eksports,""GY Gajāna"",0,5960,9796,6442,8881,3654,2649,44570,26290,108188,46678,6548,61581,136340,252829,195094,34980"
"Eksports,""GL Grenlande"",0,9553,3546,46571,0,1632,1612,49585,90698,38235,62975,103194,92064,105669,45824,31330,181959"
"Eksports,""GM Gambija"",109327,252377,130497,68111,12997,295032,1020226,102119,28725,1083661,322893,219301,265526,272425,384321,362689,610742"
"Eksports,""GN Gvineja"",2409,2374,16920,32699,32947,42875,906813,175999,91343,122931,7491399,201879,156700,131240,465648,4019889,117994"
"Eksports,""GQ Ekvatoriālā Gvineja"",0,0,52578,45726,73570,78849,324538,212184,211108,392956,538180,524495,618962,592504,790004,556986,350973"
"Eksports,""GR Grieķija"",4331432,4695683,12723897,4743002,6045492,6174883,6803706,5821822,11589757,16643524,17515175,15606074,13446853,18709764,22065980,31115124,23475301"
"Eksports,""GS Dienviddžordžija un Dienvidsendviču salas"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Eksports,""GT Gvatemala"",165785,92289,122816,179134,119509,125874,119012,135496,282885,243431,487220,744937,1034242,836525,1390369,1216675,1249121"
