"","kods","teritorija","Year","FDI","Subject","Measure"
"84","AG","Antigva un Barbuda","2020",NA,"OUTWARD","MLN_EUR"
"85","GB","Apvienotā Karaliste","2000",NA,"OUTWARD","MLN_EUR"
"86","GB","Apvienotā Karaliste","2001",2,"OUTWARD","MLN_EUR"
"87","GB","Apvienotā Karaliste","2002",2,"OUTWARD","MLN_EUR"
"88","GB","Apvienotā Karaliste","2003",2,"OUTWARD","MLN_EUR"
"89","GB","Apvienotā Karaliste","2004",5,"OUTWARD","MLN_EUR"
"90","GB","Apvienotā Karaliste","2005",3,"OUTWARD","MLN_EUR"
"91","GB","Apvienotā Karaliste","2006",5,"OUTWARD","MLN_EUR"
"92","GB","Apvienotā Karaliste","2007",6,"OUTWARD","MLN_EUR"
"93","GB","Apvienotā Karaliste","2008",5,"OUTWARD","MLN_EUR"
"94","GB","Apvienotā Karaliste","2009",6,"OUTWARD","MLN_EUR"
"95","GB","Apvienotā Karaliste","2010",4,"OUTWARD","MLN_EUR"
"96","GB","Apvienotā Karaliste","2011",5,"OUTWARD","MLN_EUR"
"97","GB","Apvienotā Karaliste","2012",6,"OUTWARD","MLN_EUR"
"98","GB","Apvienotā Karaliste","2013",8,"OUTWARD","MLN_EUR"
"99","GB","Apvienotā Karaliste","2014",15,"OUTWARD","MLN_EUR"
"100","GB","Apvienotā Karaliste","2015",21,"OUTWARD","MLN_EUR"
"101","GB","Apvienotā Karaliste","2016",26,"OUTWARD","MLN_EUR"
"102","GB","Apvienotā Karaliste","2017",25,"OUTWARD","MLN_EUR"
"103","GB","Apvienotā Karaliste","2018",22,"OUTWARD","MLN_EUR"
"104","GB","Apvienotā Karaliste","2019",4,"OUTWARD","MLN_EUR"
"105","GB","Apvienotā Karaliste","2020",8,"OUTWARD","MLN_EUR"
"106","AE","Apvienotie Arābu Emirāti","2000",NA,"OUTWARD","MLN_EUR"
"107","AE","Apvienotie Arābu Emirāti","2001",NA,"OUTWARD","MLN_EUR"
"108","AE","Apvienotie Arābu Emirāti","2002",NA,"OUTWARD","MLN_EUR"
"109","AE","Apvienotie Arābu Emirāti","2003",NA,"OUTWARD","MLN_EUR"
"110","AE","Apvienotie Arābu Emirāti","2004",NA,"OUTWARD","MLN_EUR"
"111","AE","Apvienotie Arābu Emirāti","2005",NA,"OUTWARD","MLN_EUR"
"112","AE","Apvienotie Arābu Emirāti","2006",NA,"OUTWARD","MLN_EUR"
"113","AE","Apvienotie Arābu Emirāti","2007",0,"OUTWARD","MLN_EUR"
"114","AE","Apvienotie Arābu Emirāti","2008",NA,"OUTWARD","MLN_EUR"
"115","AE","Apvienotie Arābu Emirāti","2009",NA,"OUTWARD","MLN_EUR"
"116","AE","Apvienotie Arābu Emirāti","2010",NA,"OUTWARD","MLN_EUR"
"117","AE","Apvienotie Arābu Emirāti","2011",NA,"OUTWARD","MLN_EUR"
"118","AE","Apvienotie Arābu Emirāti","2012",0,"OUTWARD","MLN_EUR"
"119","AE","Apvienotie Arābu Emirāti","2013",0,"OUTWARD","MLN_EUR"
"120","AE","Apvienotie Arābu Emirāti","2014",NA,"OUTWARD","MLN_EUR"
"121","AE","Apvienotie Arābu Emirāti","2015",36,"OUTWARD","MLN_EUR"
"122","AE","Apvienotie Arābu Emirāti","2016",28,"OUTWARD","MLN_EUR"
"123","AE","Apvienotie Arābu Emirāti","2017",10,"OUTWARD","MLN_EUR"
"124","AE","Apvienotie Arābu Emirāti","2018",19,"OUTWARD","MLN_EUR"
"125","AE","Apvienotie Arābu Emirāti","2019",0,"OUTWARD","MLN_EUR"
"126","AE","Apvienotie Arābu Emirāti","2020",0,"OUTWARD","MLN_EUR"
"127","AR","Argentīna","2000",NA,"OUTWARD","MLN_EUR"
"128","AR","Argentīna","2001",NA,"OUTWARD","MLN_EUR"
"129","AR","Argentīna","2002",NA,"OUTWARD","MLN_EUR"
"130","AR","Argentīna","2003",NA,"OUTWARD","MLN_EUR"
"131","AR","Argentīna","2004",NA,"OUTWARD","MLN_EUR"
"132","AR","Argentīna","2005",NA,"OUTWARD","MLN_EUR"
"133","AR","Argentīna","2006",NA,"OUTWARD","MLN_EUR"
"134","AR","Argentīna","2007",NA,"OUTWARD","MLN_EUR"
"135","AR","Argentīna","2008",NA,"OUTWARD","MLN_EUR"
"136","AR","Argentīna","2009",NA,"OUTWARD","MLN_EUR"
"137","AR","Argentīna","2010",NA,"OUTWARD","MLN_EUR"
"138","AR","Argentīna","2011",NA,"OUTWARD","MLN_EUR"
"139","AR","Argentīna","2012",NA,"OUTWARD","MLN_EUR"
"140","AR","Argentīna","2013",NA,"OUTWARD","MLN_EUR"
"141","AR","Argentīna","2014",NA,"OUTWARD","MLN_EUR"
"142","AR","Argentīna","2015",0,"OUTWARD","MLN_EUR"
"143","AR","Argentīna","2016",0,"OUTWARD","MLN_EUR"
"144","AR","Argentīna","2017",NA,"OUTWARD","MLN_EUR"
"145","AR","Argentīna","2018",NA,"OUTWARD","MLN_EUR"
"146","AR","Argentīna","2019",NA,"OUTWARD","MLN_EUR"
"147","AR","Argentīna","2020",NA,"OUTWARD","MLN_EUR"
"148","AM","Armēnija","2000",NA,"OUTWARD","MLN_EUR"
"149","AM","Armēnija","2001",NA,"OUTWARD","MLN_EUR"
"150","AM","Armēnija","2002",NA,"OUTWARD","MLN_EUR"
"151","AM","Armēnija","2003",NA,"OUTWARD","MLN_EUR"
"152","AM","Armēnija","2004",NA,"OUTWARD","MLN_EUR"
"153","AM","Armēnija","2005",0,"OUTWARD","MLN_EUR"
"154","AM","Armēnija","2006",1,"OUTWARD","MLN_EUR"
"155","AM","Armēnija","2007",3,"OUTWARD","MLN_EUR"
"156","AM","Armēnija","2008",3,"OUTWARD","MLN_EUR"
"157","AM","Armēnija","2009",3,"OUTWARD","MLN_EUR"
"158","AM","Armēnija","2010",9,"OUTWARD","MLN_EUR"
"159","AM","Armēnija","2011",10,"OUTWARD","MLN_EUR"
"160","AM","Armēnija","2012",11,"OUTWARD","MLN_EUR"
"161","AM","Armēnija","2013",13,"OUTWARD","MLN_EUR"
"162","AM","Armēnija","2014",13,"OUTWARD","MLN_EUR"
"163","AM","Armēnija","2015",7,"OUTWARD","MLN_EUR"
"164","AM","Armēnija","2016",6,"OUTWARD","MLN_EUR"
"165","AM","Armēnija","2017",5,"OUTWARD","MLN_EUR"
"166","AM","Armēnija","2018",4,"OUTWARD","MLN_EUR"
"167","AM","Armēnija","2019",3,"OUTWARD","MLN_EUR"
"168","AM","Armēnija","2020",6,"OUTWARD","MLN_EUR"
"169","noEU","Ārpus ES 27 (kopā)","2000",6,"OUTWARD","MLN_EUR"
"170","noEU","Ārpus ES 27 (kopā)","2001",12,"OUTWARD","MLN_EUR"
"171","noEU","Ārpus ES 27 (kopā)","2002",14,"OUTWARD","MLN_EUR"
"172","noEU","Ārpus ES 27 (kopā)","2003",35,"OUTWARD","MLN_EUR"
"173","noEU","Ārpus ES 27 (kopā)","2004",104,"OUTWARD","MLN_EUR"
"174","noEU","Ārpus ES 27 (kopā)","2005",132,"OUTWARD","MLN_EUR"
"175","noEU","Ārpus ES 27 (kopā)","2006",226,"OUTWARD","MLN_EUR"
"176","noEU","Ārpus ES 27 (kopā)","2007",344,"OUTWARD","MLN_EUR"
"177","noEU","Ārpus ES 27 (kopā)","2008",436,"OUTWARD","MLN_EUR"
"178","noEU","Ārpus ES 27 (kopā)","2009",297,"OUTWARD","MLN_EUR"
"179","noEU","Ārpus ES 27 (kopā)","2010",336,"OUTWARD","MLN_EUR"
"180","noEU","Ārpus ES 27 (kopā)","2011",343,"OUTWARD","MLN_EUR"
"181","noEU","Ārpus ES 27 (kopā)","2012",399,"OUTWARD","MLN_EUR"
"182","noEU","Ārpus ES 27 (kopā)","2013",489,"OUTWARD","MLN_EUR"
"183","noEU","Ārpus ES 27 (kopā)","2014",448,"OUTWARD","MLN_EUR"
"184","noEU","Ārpus ES 27 (kopā)","2015",517,"OUTWARD","MLN_EUR"
"185","noEU","Ārpus ES 27 (kopā)","2016",562,"OUTWARD","MLN_EUR"
"186","noEU","Ārpus ES 27 (kopā)","2017",533,"OUTWARD","MLN_EUR"
"187","noEU","Ārpus ES 27 (kopā)","2018",573,"OUTWARD","MLN_EUR"
"188","noEU","Ārpus ES 27 (kopā)","2019",508,"OUTWARD","MLN_EUR"
"189","noEU","Ārpus ES 27 (kopā)","2020",565,"OUTWARD","MLN_EUR"
"190","AU","Austrālija","2000",NA,"OUTWARD","MLN_EUR"
"191","AU","Austrālija","2001",NA,"OUTWARD","MLN_EUR"
"192","AU","Austrālija","2002",0,"OUTWARD","MLN_EUR"
"193","AU","Austrālija","2003",0,"OUTWARD","MLN_EUR"
"194","AU","Austrālija","2004",0,"OUTWARD","MLN_EUR"
"195","AU","Austrālija","2005",0,"OUTWARD","MLN_EUR"
"196","AU","Austrālija","2006",1,"OUTWARD","MLN_EUR"
"197","AU","Austrālija","2007",NA,"OUTWARD","MLN_EUR"
"198","AU","Austrālija","2008",NA,"OUTWARD","MLN_EUR"
"199","AU","Austrālija","2009",0,"OUTWARD","MLN_EUR"
"200","AU","Austrālija","2010",NA,"OUTWARD","MLN_EUR"
"201","AU","Austrālija","2011",NA,"OUTWARD","MLN_EUR"
"202","AU","Austrālija","2012",NA,"OUTWARD","MLN_EUR"
"203","AU","Austrālija","2013",NA,"OUTWARD","MLN_EUR"
"204","AU","Austrālija","2014",NA,"OUTWARD","MLN_EUR"
"205","AU","Austrālija","2015",NA,"OUTWARD","MLN_EUR"
"206","AU","Austrālija","2016",NA,"OUTWARD","MLN_EUR"
"207","AU","Austrālija","2017",NA,"OUTWARD","MLN_EUR"
"208","AU","Austrālija","2018",NA,"OUTWARD","MLN_EUR"
"209","AU","Austrālija","2019",NA,"OUTWARD","MLN_EUR"
"210","AU","Austrālija","2020",NA,"OUTWARD","MLN_EUR"
"211","AT","Austrija","2000",NA,"OUTWARD","MLN_EUR"
"212","AT","Austrija","2001",0,"OUTWARD","MLN_EUR"
"213","AT","Austrija","2002",0,"OUTWARD","MLN_EUR"
"214","AT","Austrija","2003",0,"OUTWARD","MLN_EUR"
"215","AT","Austrija","2004",1,"OUTWARD","MLN_EUR"
"216","AT","Austrija","2005",1,"OUTWARD","MLN_EUR"
"217","AT","Austrija","2006",5,"OUTWARD","MLN_EUR"
"218","AT","Austrija","2007",6,"OUTWARD","MLN_EUR"
"219","AT","Austrija","2008",7,"OUTWARD","MLN_EUR"
"220","AT","Austrija","2009",7,"OUTWARD","MLN_EUR"
"221","AT","Austrija","2010",7,"OUTWARD","MLN_EUR"
"222","AT","Austrija","2011",7,"OUTWARD","MLN_EUR"
"223","AT","Austrija","2012",6,"OUTWARD","MLN_EUR"
"224","AT","Austrija","2013",7,"OUTWARD","MLN_EUR"
"225","AT","Austrija","2014",15,"OUTWARD","MLN_EUR"
"226","AT","Austrija","2015",12,"OUTWARD","MLN_EUR"
"227","AT","Austrija","2016",14,"OUTWARD","MLN_EUR"
"228","AT","Austrija","2017",14,"OUTWARD","MLN_EUR"
"229","AT","Austrija","2018",16,"OUTWARD","MLN_EUR"
"230","AT","Austrija","2019",14,"OUTWARD","MLN_EUR"
"231","AT","Austrija","2020",12,"OUTWARD","MLN_EUR"
"232","AZ","Azerbaidžāna","2000",NA,"OUTWARD","MLN_EUR"
"233","AZ","Azerbaidžāna","2001",NA,"OUTWARD","MLN_EUR"
"234","AZ","Azerbaidžāna","2002",NA,"OUTWARD","MLN_EUR"
"235","AZ","Azerbaidžāna","2003",NA,"OUTWARD","MLN_EUR"
"236","AZ","Azerbaidžāna","2004",NA,"OUTWARD","MLN_EUR"
"237","AZ","Azerbaidžāna","2005",0,"OUTWARD","MLN_EUR"
"238","AZ","Azerbaidžāna","2006",0,"OUTWARD","MLN_EUR"
"239","AZ","Azerbaidžāna","2007",0,"OUTWARD","MLN_EUR"
"240","AZ","Azerbaidžāna","2008",0,"OUTWARD","MLN_EUR"
"241","AZ","Azerbaidžāna","2009",0,"OUTWARD","MLN_EUR"
"242","AZ","Azerbaidžāna","2010",0,"OUTWARD","MLN_EUR"
"243","AZ","Azerbaidžāna","2011",0,"OUTWARD","MLN_EUR"
"244","AZ","Azerbaidžāna","2012",0,"OUTWARD","MLN_EUR"
"245","AZ","Azerbaidžāna","2013",0,"OUTWARD","MLN_EUR"
"246","AZ","Azerbaidžāna","2014",0,"OUTWARD","MLN_EUR"
"247","AZ","Azerbaidžāna","2015",0,"OUTWARD","MLN_EUR"
"248","AZ","Azerbaidžāna","2016",0,"OUTWARD","MLN_EUR"
"249","AZ","Azerbaidžāna","2017",0,"OUTWARD","MLN_EUR"
"250","AZ","Azerbaidžāna","2018",0,"OUTWARD","MLN_EUR"
"251","AZ","Azerbaidžāna","2019",0,"OUTWARD","MLN_EUR"
"252","AZ","Azerbaidžāna","2020",0,"OUTWARD","MLN_EUR"
"253","BS","Bahamu salas","2000",NA,"OUTWARD","MLN_EUR"
"254","BS","Bahamu salas","2001",NA,"OUTWARD","MLN_EUR"
"255","BS","Bahamu salas","2002",NA,"OUTWARD","MLN_EUR"
"256","BS","Bahamu salas","2003",NA,"OUTWARD","MLN_EUR"
"257","BS","Bahamu salas","2004",NA,"OUTWARD","MLN_EUR"
"258","BS","Bahamu salas","2005",NA,"OUTWARD","MLN_EUR"
"259","BS","Bahamu salas","2006",NA,"OUTWARD","MLN_EUR"
"260","BS","Bahamu salas","2007",NA,"OUTWARD","MLN_EUR"
"261","BS","Bahamu salas","2008",NA,"OUTWARD","MLN_EUR"
"262","BS","Bahamu salas","2009",NA,"OUTWARD","MLN_EUR"
"263","BS","Bahamu salas","2010",NA,"OUTWARD","MLN_EUR"
"264","BS","Bahamu salas","2011",NA,"OUTWARD","MLN_EUR"
"265","BS","Bahamu salas","2012",NA,"OUTWARD","MLN_EUR"
"266","BS","Bahamu salas","2013",NA,"OUTWARD","MLN_EUR"
"267","BS","Bahamu salas","2014",NA,"OUTWARD","MLN_EUR"
"268","BS","Bahamu salas","2015",2,"OUTWARD","MLN_EUR"
"269","BS","Bahamu salas","2016",1,"OUTWARD","MLN_EUR"
"270","BS","Bahamu salas","2017",1,"OUTWARD","MLN_EUR"
"271","BS","Bahamu salas","2018",1,"OUTWARD","MLN_EUR"
"272","BS","Bahamu salas","2019",1,"OUTWARD","MLN_EUR"
"273","BS","Bahamu salas","2020",1,"OUTWARD","MLN_EUR"
"274","BY","Baltkrievija","2000",0,"OUTWARD","MLN_EUR"
"275","BY","Baltkrievija","2001",0,"OUTWARD","MLN_EUR"
"276","BY","Baltkrievija","2002",1,"OUTWARD","MLN_EUR"
"277","BY","Baltkrievija","2003",2,"OUTWARD","MLN_EUR"
"278","BY","Baltkrievija","2004",5,"OUTWARD","MLN_EUR"
"279","BY","Baltkrievija","2005",10,"OUTWARD","MLN_EUR"
"280","BY","Baltkrievija","2006",14,"OUTWARD","MLN_EUR"
"281","BY","Baltkrievija","2007",16,"OUTWARD","MLN_EUR"
"282","BY","Baltkrievija","2008",16,"OUTWARD","MLN_EUR"
"283","BY","Baltkrievija","2009",18,"OUTWARD","MLN_EUR"
"284","BY","Baltkrievija","2010",23,"OUTWARD","MLN_EUR"
"285","BY","Baltkrievija","2011",24,"OUTWARD","MLN_EUR"
"286","BY","Baltkrievija","2012",28,"OUTWARD","MLN_EUR"
"287","BY","Baltkrievija","2013",39,"OUTWARD","MLN_EUR"
"288","BY","Baltkrievija","2014",54,"OUTWARD","MLN_EUR"
"289","BY","Baltkrievija","2015",64,"OUTWARD","MLN_EUR"
"290","BY","Baltkrievija","2016",71,"OUTWARD","MLN_EUR"
"291","BY","Baltkrievija","2017",71,"OUTWARD","MLN_EUR"
"292","BY","Baltkrievija","2018",80,"OUTWARD","MLN_EUR"
"293","BY","Baltkrievija","2019",80,"OUTWARD","MLN_EUR"
"294","BY","Baltkrievija","2020",84,"OUTWARD","MLN_EUR"
"295","BE","Beļģija","2000",NA,"OUTWARD","MLN_EUR"
"296","BE","Beļģija","2001",0,"OUTWARD","MLN_EUR"
"297","BE","Beļģija","2002",0,"OUTWARD","MLN_EUR"
"298","BE","Beļģija","2003",0,"OUTWARD","MLN_EUR"
"299","BE","Beļģija","2004",0,"OUTWARD","MLN_EUR"
"300","BE","Beļģija","2005",0,"OUTWARD","MLN_EUR"
"301","BE","Beļģija","2006",0,"OUTWARD","MLN_EUR"
"302","BE","Beļģija","2007",NA,"OUTWARD","MLN_EUR"
"303","BE","Beļģija","2008",0,"OUTWARD","MLN_EUR"
"304","BE","Beļģija","2009",0,"OUTWARD","MLN_EUR"
"305","BE","Beļģija","2010",0,"OUTWARD","MLN_EUR"
"306","BE","Beļģija","2011",0,"OUTWARD","MLN_EUR"
"307","BE","Beļģija","2012",0,"OUTWARD","MLN_EUR"
"308","BE","Beļģija","2013",0,"OUTWARD","MLN_EUR"
"309","BE","Beļģija","2014",0,"OUTWARD","MLN_EUR"
"310","BE","Beļģija","2015",NA,"OUTWARD","MLN_EUR"
"311","BE","Beļģija","2016",0,"OUTWARD","MLN_EUR"
"312","BE","Beļģija","2017",0,"OUTWARD","MLN_EUR"
"313","BE","Beļģija","2018",1,"OUTWARD","MLN_EUR"
"314","BE","Beļģija","2019",0,"OUTWARD","MLN_EUR"
"315","BE","Beļģija","2020",0,"OUTWARD","MLN_EUR"
"316","BZ","Beliza","2000",NA,"OUTWARD","MLN_EUR"
"317","BZ","Beliza","2001",NA,"OUTWARD","MLN_EUR"
"318","BZ","Beliza","2002",NA,"OUTWARD","MLN_EUR"
"319","BZ","Beliza","2003",NA,"OUTWARD","MLN_EUR"
"320","BZ","Beliza","2004",NA,"OUTWARD","MLN_EUR"
"321","BZ","Beliza","2005",NA,"OUTWARD","MLN_EUR"
"322","BZ","Beliza","2006",NA,"OUTWARD","MLN_EUR"
"323","BZ","Beliza","2007",NA,"OUTWARD","MLN_EUR"
"324","BZ","Beliza","2008",NA,"OUTWARD","MLN_EUR"
"325","BZ","Beliza","2009",NA,"OUTWARD","MLN_EUR"
"326","BZ","Beliza","2010",1,"OUTWARD","MLN_EUR"
"327","BZ","Beliza","2011",1,"OUTWARD","MLN_EUR"
"328","BZ","Beliza","2012",0,"OUTWARD","MLN_EUR"
"329","BZ","Beliza","2013",19,"OUTWARD","MLN_EUR"
"330","BZ","Beliza","2014",19,"OUTWARD","MLN_EUR"
"331","BZ","Beliza","2015",19,"OUTWARD","MLN_EUR"
"332","BZ","Beliza","2016",19,"OUTWARD","MLN_EUR"
"333","BZ","Beliza","2017",19,"OUTWARD","MLN_EUR"
"334","BZ","Beliza","2018",22,"OUTWARD","MLN_EUR"
"335","BZ","Beliza","2019",2,"OUTWARD","MLN_EUR"
"336","BZ","Beliza","2020",2,"OUTWARD","MLN_EUR"
"337","BM","Bermudu salas","2000",0,"OUTWARD","MLN_EUR"
"338","BM","Bermudu salas","2001",0,"OUTWARD","MLN_EUR"
"339","BM","Bermudu salas","2002",0,"OUTWARD","MLN_EUR"
"340","BM","Bermudu salas","2003",0,"OUTWARD","MLN_EUR"
"341","BM","Bermudu salas","2004",0,"OUTWARD","MLN_EUR"
"342","BM","Bermudu salas","2005",NA,"OUTWARD","MLN_EUR"
"343","BM","Bermudu salas","2006",NA,"OUTWARD","MLN_EUR"
"344","BM","Bermudu salas","2007",NA,"OUTWARD","MLN_EUR"
"345","BM","Bermudu salas","2008",NA,"OUTWARD","MLN_EUR"
"346","BM","Bermudu salas","2009",NA,"OUTWARD","MLN_EUR"
"347","BM","Bermudu salas","2010",NA,"OUTWARD","MLN_EUR"
"348","BM","Bermudu salas","2011",NA,"OUTWARD","MLN_EUR"
"349","BM","Bermudu salas","2012",NA,"OUTWARD","MLN_EUR"
"350","BM","Bermudu salas","2013",NA,"OUTWARD","MLN_EUR"
"351","BM","Bermudu salas","2014",NA,"OUTWARD","MLN_EUR"
"352","BM","Bermudu salas","2015",NA,"OUTWARD","MLN_EUR"
"353","BM","Bermudu salas","2016",NA,"OUTWARD","MLN_EUR"
"354","BM","Bermudu salas","2017",NA,"OUTWARD","MLN_EUR"
"355","BM","Bermudu salas","2018",NA,"OUTWARD","MLN_EUR"
"356","BM","Bermudu salas","2019",NA,"OUTWARD","MLN_EUR"
"357","BM","Bermudu salas","2020",NA,"OUTWARD","MLN_EUR"
"358","BA","Bosnija un Hercegovina","2000",NA,"OUTWARD","MLN_EUR"
"359","BA","Bosnija un Hercegovina","2001",NA,"OUTWARD","MLN_EUR"
"360","BA","Bosnija un Hercegovina","2002",NA,"OUTWARD","MLN_EUR"
"361","BA","Bosnija un Hercegovina","2003",NA,"OUTWARD","MLN_EUR"
"362","BA","Bosnija un Hercegovina","2004",NA,"OUTWARD","MLN_EUR"
"363","BA","Bosnija un Hercegovina","2005",NA,"OUTWARD","MLN_EUR"
"364","BA","Bosnija un Hercegovina","2006",NA,"OUTWARD","MLN_EUR"
"365","BA","Bosnija un Hercegovina","2007",NA,"OUTWARD","MLN_EUR"
"366","BA","Bosnija un Hercegovina","2008",NA,"OUTWARD","MLN_EUR"
"367","BA","Bosnija un Hercegovina","2009",NA,"OUTWARD","MLN_EUR"
"368","BA","Bosnija un Hercegovina","2010",NA,"OUTWARD","MLN_EUR"
"369","BA","Bosnija un Hercegovina","2011",NA,"OUTWARD","MLN_EUR"
"370","BA","Bosnija un Hercegovina","2012",NA,"OUTWARD","MLN_EUR"
"371","BA","Bosnija un Hercegovina","2013",NA,"OUTWARD","MLN_EUR"
